gender,province,edu_level,Vote_Trudeau,Vote_others,age_group
A woman,Quebec,9,0,1,great than 25
A woman,Quebec,9,0,1,less than 25
A woman,Ontario,7,1,0,less than 25
A man,Ontario,7,0,1,less than 25
A woman,Ontario,4,0,1,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,4,1,0,less than 25
A woman,Ontario,4,0,1,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,4,1,0,less than 25
A woman,Ontario,7,1,0,less than 25
A man,Ontario,7,1,0,less than 25
A woman,Ontario,4,1,0,less than 25
A woman,Ontario,4,1,0,less than 25
A woman,Ontario,4,0,1,less than 25
A woman,Ontario,7,0,1,less than 25
A woman,Ontario,4,0,1,less than 25
A man,Ontario,4,0,1,less than 25
A man,Ontario,7,1,0,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,4,0,1,less than 25
A woman,Ontario,4,1,0,less than 25
A man,Ontario,4,1,0,less than 25
A woman,Ontario,4,0,1,less than 25
A man,Ontario,7,1,0,less than 25
A woman,Ontario,3,1,0,less than 25
A man,Ontario,4,0,1,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,3,1,0,less than 25
A woman,Ontario,7,1,0,less than 25
A man,Ontario,7,1,0,less than 25
A man,Ontario,4,0,1,less than 25
A woman,Ontario,7,0,1,less than 25
A woman,Ontario,7,0,1,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,4,0,1,less than 25
A man,Ontario,7,1,0,less than 25
A woman,Ontario,4,1,0,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,3,0,1,less than 25
A man,Ontario,7,0,1,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,7,1,0,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,7,0,1,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,4,1,0,less than 25
A woman,Ontario,4,0,1,less than 25
"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Ontario,7,0,1,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,7,1,0,less than 25
A man,Ontario,7,1,0,less than 25
A woman,Ontario,7,0,1,less than 25
A woman,Ontario,7,1,0,less than 25
A man,Ontario,7,0,1,less than 25
A woman,Ontario,8,0,1,less than 25
A man,Ontario,4,1,0,less than 25
A woman,Ontario,7,1,0,less than 25
A woman,Ontario,7,0,1,less than 25
A woman,Ontario,3,0,1,less than 25
A woman,Ontario,4,0,1,less than 25
A woman,Ontario,4,1,0,less than 25
A woman,Ontario,4,1,0,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,7,0,1,less than 25
A woman,Ontario,8,1,0,less than 25
A woman,Ontario,7,0,1,less than 25
A man,Ontario,4,0,1,less than 25
A man,Ontario,7,0,1,less than 25
A woman,Ontario,5,0,1,great than 25
A woman,Quebec,6,1,0,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Ontario,9,0,1,great than 25
A man,British Columbia,8,0,1,great than 25
A woman,Ontario,5,1,0,great than 25
A man,Ontario,10,0,1,great than 25
A woman,Ontario,8,1,0,great than 25
A woman,Ontario,5,0,1,great than 25
A man,Alberta,8,0,1,great than 25
A woman,Saskatchewan,4,0,1,great than 25
A man,Quebec,7,0,1,great than 25
A man,British Columbia,8,1,0,great than 25
A man,Quebec,5,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A man,Alberta,8,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A man,Ontario,8,1,0,great than 25
A man,Ontario,6,1,0,great than 25
A woman,British Columbia,8,1,0,great than 25
A woman,British Columbia,10,0,1,great than 25
A man,Quebec,9,0,1,great than 25
A man,Ontario,4,0,1,great than 25
A man,Ontario,8,0,1,great than 25
A woman,Ontario,8,0,1,great than 25
A woman,Alberta,6,0,1,great than 25
A man,Ontario,8,1,0,great than 25
A man,Quebec,4,0,1,great than 25
A woman,British Columbia,8,0,1,great than 25
A woman,Quebec,6,0,1,great than 25
A woman,Ontario,5,1,0,great than 25
